"Timestamp","Were you interacting with the chatbot as a hospitality worker or as a guest of a hotel?","What kind of questions did you ask the bot","How easy was it to interact with the chatbot?","Assess the accuracy of the answers","Assess the response time","How effectively did the chatbot resolve your queries?","How relevant were the chatbot's responses to your queries?","Overall satisfaction","Did you feel that you communicated with a human or machine?","How old are you?","What is your gender?","What is your highest degree obtained?","What nationality do you feel belonging to?"
"2023/12/17 12:50:59 pm CET","Hospitality worker","Questions regarding the task schedule","Easy","Very accurate","Very fast","Very effectively","Very relevant","Very satisfied","Machine","24","Female","Bachelor","Russia"
"2023/12/17 12:51:52 pm CET","Guest","General questions such as prices, check in, check out time etc.","Very easy","Very accurate","Very fast","Very effectively","Very relevant","Very satisfied","Machine","30","Male","High School","Russia"
"2023/12/17 12:56:08 pm CET","Guest","More specific questions regarding my special needs in a hotel","Easy","Neutral","Very fast","Neutral","Irrelevant","Neutral","Machine","33","Female","Bachelor","Russia"
"2023/12/17 12:57:06 pm CET","Guest","General questions which do not touch the hotel's internal information","Very easy","Very accurate","Neutral","Effectively","Very relevant","Very satisfied","Machine","26","Female","Bachelor","Montenegro"
"2023/12/17 1:01:58 pm CET","Hospitality worker","General questions such as prices, check in, check out time etc.","Easy","Accurate","Very fast","Very effectively","Relevant","Satisfied","Machine","25","Male","Bachelor","Serbia"
"2023/12/17 1:03:03 pm CET","Hospitality worker","Questions regarding the task schedule","Easy","Accurate","Neutral","Effectively","Relevant","Satisfied","Machine","26","Female","Bachelor","Montenegro"
"2023/12/17 1:03:51 pm CET","Guest","General questions such as prices, check in, check out time etc.","Very easy","Very accurate","Very fast","Very effectively","Very relevant","Very satisfied","Machine","22","Male","High School","Serbia"
"2023/12/17 1:04:45 pm CET","Hospitality worker","General questions which do not touch the hotel's internal information","Very easy","Very accurate","Fast","Effectively","Relevant","Satisfied","Machine","23","Male","High School","Ukraine"
"2023/12/19 1:47:37 pm CET","Hospitality worker","Questions regarding the task schedule","Easy","Accurate","Very fast","Very effectively","Very relevant","Very satisfied","Machine","23","Male","High School","Austria"
"2023/12/19 1:48:57 pm CET","Guest","General questions such as prices, check in, check out time etc.","Very easy","Very accurate","Very fast","Very effectively","Very relevant","Very satisfied","Machine","24","Female","Bachelor","Ukraine"
"2023/12/19 1:50:04 pm CET","Hospitality worker","Questions regarding the task schedule","Neutral","Inaccurate","Neutral","Ineffectively","Irrelevant","Neutral","Machine","25","Female","Master","Russia"
"2023/12/19 1:51:30 pm CET","Guest","General questions which do not touch the hotel's internal information","Very easy","Accurate","Neutral","Effectively","Very relevant","Satisfied","Machine","24","Female","Bachelor","Montenegro"
"2023/12/19 1:53:31 pm CET","Guest","More specific questions regarding my special needs in a hotel","Very easy","Accurate","Very fast","Very effectively","Very relevant","Very satisfied","Human","28","Female","Bachelor","Ukraine"
"2023/12/19 1:54:46 pm CET","Guest","General questions which do not touch the hotel's internal information","Easy","Inaccurate","Long","Ineffectively","Irrelevant","Neutral","Machine","27","Male","Bachelor","Ukraine"
"2023/12/19 1:55:57 pm CET","Hospitality worker","General questions which do not touch the hotel's internal information","Very easy","Very accurate","Fast","Effectively","Very relevant","Very satisfied","Machine","22","Female","High School","Iran"
"2023/12/19 1:56:32 pm CET","Hospitality worker","General questions such as prices, check in, check out time etc.","Very easy","Very accurate","Very fast","Very effectively","Very relevant","Very satisfied","Machine","26","Female","Bachelor","Romania"
"2023/12/19 2:00:16 pm CET","Hospitality worker","Questions regarding the task schedule","Easy","Accurate","Fast","Effectively","Relevant","Satisfied","Machine","20","Male","High School","Serbia"
"2023/12/19 2:03:02 pm CET","Hospitality worker","General questions such as prices, check in, check out time etc.","Very easy","Very accurate","Very fast","Very effectively","Very relevant","Very satisfied","Human","19","Female","High School","Italy"
"2023/12/19 2:04:51 pm CET","Guest","General questions such as prices, check in, check out time etc.","Very easy","Very accurate","Very fast","Very effectively","Very relevant","Very satisfied","Machine","21","Male","High School","Turkey"
"2023/12/19 2:05:47 pm CET","Hospitality worker","More specific questions regarding my special needs in a hotel","Easy","Accurate","Very fast","Very effectively","Very relevant","Satisfied","Machine","22","Male","High School","China"
"2023/12/19 2:08:30 pm CET","Guest","More specific questions regarding my special needs in a hotel","Easy","Very accurate","Neutral","Effectively","Very relevant","Very satisfied","Human","23","Male","High School","Austria"
"2023/12/19 2:09:09 pm CET","Hospitality worker","Questions regarding the task schedule","Very easy","Very accurate","Very fast","Very effectively","Very relevant","Very satisfied","Machine","21","Female","High School","Austria"
"2023/12/19 2:09:53 pm CET","Guest","More specific questions regarding my special needs in a hotel","Very easy","Very accurate","Very fast","Very effectively","Very relevant","Very satisfied","Machine","23","Female","High School","Austria"
"2023/12/19 2:11:15 pm CET","Guest","More specific questions regarding my special needs in a hotel","Easy","Neutral","Fast","Effectively","Relevant","Satisfied","","28","Male","Bachelor","Austria"
"2023/12/19 2:12:12 pm CET","Guest","General questions such as prices, check in, check out time etc.","Easy","Very accurate","Neutral","Effectively","Very relevant","Satisfied","Human","25","Male","Bachelor","Germany"
"2023/12/19 2:14:44 pm CET","Guest","More specific questions regarding my special needs in a hotel","Easy","Neutral","Fast","Neutral","Neutral","Neutral","Machine","26","Male","High School","Austria"
"2023/12/19 2:46:57 pm CET","Guest","General questions such as prices, check in, check out time etc.","Very easy","Accurate","Very fast","Very effectively","Very relevant","Very satisfied","Machine","20","Male","High School","Germany"
"2023/12/19 2:48:42 pm CET","Hospitality worker","General questions such as prices, check in, check out time etc.","Very easy","Accurate","Very fast","Effectively","Relevant","Satisfied","","22","Male","High School","Austria"
"2023/12/19 2:56:02 pm CET","Guest","General questions such as prices, check in, check out time etc.","Very easy","Very accurate","Very fast","Very effectively","Very relevant","Very satisfied","Machine","27","Female","Master","Greece"
"2023/12/19 2:57:41 pm CET","Hospitality worker","General questions which do not touch the hotel's internal information","Very easy","Accurate","Very fast","Very effectively","Very relevant","Very satisfied","Machine","35","Male","Bachelor","Austria"
"2023/12/19 3:01:48 pm CET","Guest","More specific questions regarding my special needs in a hotel","Very easy","Neutral","Very fast","Effectively","Irrelevant","Satisfied","Machine","24","Female","Bachelor","Czech Republic"
"2023/12/19 3:04:16 pm CET","Hospitality worker","Questions regarding the task schedule","Easy","Accurate","Fast","Very effectively","Very relevant","Very satisfied","Machine","23","Female","Bachelor","Slovakia"
"2023/12/19 3:05:22 pm CET","Guest","More specific questions regarding my special needs in a hotel","Very easy","Very accurate","Very fast","Very effectively","Very relevant","Very satisfied","Machine","26","Male","Bachelor","Croatia"
"2023/12/19 3:06:00 pm CET","Guest","General questions such as prices, check in, check out time etc.","Very easy","Very accurate","Very fast","Very effectively","Very relevant","Very satisfied","Machine","33","Male","High School","Croatia"
"2023/12/19 3:06:57 pm CET","Hospitality worker","General questions which do not touch the hotel's internal information","Easy","Neutral","Fast","Neutral","Neutral","Satisfied","Machine","28","Female","Master","Montenegro"
